title,release_date,libsyn_page,download_link
"#36: June 29, 2015","May 3, 2017",https://knowledgefight.libsyn.com/knowledge-fight-june-29th-2015,https://traffic.libsyn.com/secure/knowledgefight/June29.mp3
"#37: May 1, 2017","May 5, 2017",https://knowledgefight.libsyn.com/knowledge-fight-may-1-2017,https://traffic.libsyn.com/secure/knowledgefight/FBCucks.mp3
#38: 30 Hour Marathon Coverage,"May 9, 2017",https://knowledgefight.libsyn.com/knowledge-fight-30-hour-marathon-coverage,https://traffic.libsyn.com/secure/knowledgefight/MarathonFinal.mp3
#39: Jack Posobiec...Ya Busted,"May 10, 2017",https://knowledgefight.libsyn.com/knowledge-fight-jack-posobiecya-busted,https://traffic.libsyn.com/secure/knowledgefight/PosobiecF.mp3
"#40: May 10, 2017","May 11, 2017",https://knowledgefight.libsyn.com/knowledge-fight-may-10-2017,https://traffic.libsyn.com/secure/knowledgefight/Comey.mp3
"#41: May 12, 2017","May 16, 2017",https://knowledgefight.libsyn.com/knowledge-fight-may-12-2017,https://traffic.libsyn.com/secure/knowledgefight/May12.mp3
Spiritual Correction,"May 17, 2017",https://knowledgefight.libsyn.com/knowledge-fight-spiritual-correction,https://traffic.libsyn.com/secure/knowledgefight/Correction.mp3
"#42: March 11, 2014","May 17, 2017",https://knowledgefight.libsyn.com/knowledge-fight-march-11-2014,https://traffic.libsyn.com/secure/knowledgefight/3-11-14.mp3
"#43: May 17, 2017","May 19, 2017",https://knowledgefight.libsyn.com/knowledge-fight-may-17-2017,https://traffic.libsyn.com/secure/knowledgefight/5-17-17.mp3
"#44: May 22, 2017","May 24, 2017",https://knowledgefight.libsyn.com/knowledge-fight-may-22-2017,https://traffic.libsyn.com/secure/knowledgefight/5-22.mp3
"#45: May 25, 2017","May 29, 2017",https://knowledgefight.libsyn.com/knowledge-fight-may-25-2017,https://traffic.libsyn.com/secure/knowledgefight/5-25-17.mp3
"#46: June 18, 2015","May 30, 2017",https://knowledgefight.libsyn.com/knowledge-fight-june-18-2015,https://traffic.libsyn.com/secure/knowledgefight/CutEp.mp3
"#47: June 19-July 5, 2015","May 31, 2017",https://knowledgefight.libsyn.com/knowledge-fight-june-19-july-5-2015,https://traffic.libsyn.com/secure/knowledgefight/Investigation2.mp3
"#48: May 31, 2017","Jun 1, 2017",https://knowledgefight.libsyn.com/knowledge-fight-may-31-2017,https://traffic.libsyn.com/secure/knowledgefight/5-31-17.mp3
#49: July 6-13. 2015,"Jun 5, 2017",https://knowledgefight.libsyn.com/knowledge-fight-july-6-13,https://traffic.libsyn.com/secure/knowledgefight/Investigation3.mp3
#50: Bohemian Grove...Ya Busted,"Jun 7, 2017",https://knowledgefight.libsyn.com/knowledge-fight-bohemian-groveya-busted,https://traffic.libsyn.com/secure/knowledgefight/TheGrove.mp3
"#51: June 6, 2017","Jun 9, 2017",https://knowledgefight.libsyn.com/knowledge-fight-june-6-2017,https://traffic.libsyn.com/secure/knowledgefight/6-6-17.mp3
"#52: July 14-21, 2015","Jun 12, 2017",https://knowledgefight.libsyn.com/knowledge-fight-july-14-21-2015,https://traffic.libsyn.com/secure/knowledgefight/Inv4.mp3
"#53: June 12, 2017","Jun 14, 2017",https://knowledgefight.libsyn.com/knowledge-fight-june-12-2017,https://traffic.libsyn.com/secure/knowledgefight/6-12-17.mp3
#54: Megyn Kelly Interview Pt. 1,"Jun 19, 2017",https://knowledgefight.libsyn.com/knowledge-fight-megyn-kelly-interview-pt-1,https://traffic.libsyn.com/secure/knowledgefight/Pre.mp3
#55: Megyn Kelly Interview Pt. 2,"Jun 19, 2017",https://knowledgefight.libsyn.com/knowledge-fight-megyn-kelly-interview-pt-2,https://traffic.libsyn.com/secure/knowledgefight/Interview.mp3
"#56: July 22-Aug 11, 2015","Jun 23, 2017",https://knowledgefight.libsyn.com/knowledge-fight-july-22-aug-11-2015,https://traffic.libsyn.com/secure/knowledgefight/Inv5.mp3
